X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-76.978402274395,38.8657917821163,28467921,38.865784,-76.9784,Anacostia Library,classic,66,active,2021/11/01 04:19:56+00,9,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9710172729981,38.8730647836373,28467922,38.873057,-76.971015,Pennsylvania & Minnesota Ave SE,classic,67,active,2021/11/01 04:24:56+00,8,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9968082815343,38.8869597854846,28467923,38.886952,-76.996806,Eastern Market / 7th & North Carolina Ave SE,classic,68,active,2021/11/01 11:02:06+00,8,0,6,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0316882931334,38.899639787387,28467924,38.899632,-77.031686,14th St & New York Ave NW,classic,69,active,2021/11/01 11:13:31+00,1,0,22,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9479762675126,38.8940077886195,28467925,38.894,-76.947974,Benning Branch Library,classic,70,active,2021/11/01 08:40:07+00,7,0,3,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0282442918189,38.8862847846868,28467926,38.886277,-77.028242,USDA / 12th & C St SW,classic,71,active,2021/11/01 10:11:59+00,35,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,39,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0591443024242,38.9023217868395,28467927,38.902314,-77.059142,Georgetown Harbor / 30th St NW,classic,72,active,2021/11/01 11:10:19+00,3,0,16,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9910182824122,38.9336757954994,28467928,38.933668,-76.991016,12th & Newton St NE,classic,73,active,2021/10/31 13:34:47+00,11,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0465892978385,38.894926785096,28467929,38.894919,-77.046587,US Dept of State / Virginia Ave & 21st St NW,classic,74,active,2021/11/01 11:10:20+00,2,0,11,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.022243289435,38.886273784424,28467930,38.886266,-77.022241,L'Enfant Plaza / 7th & C St SW,classic,75,active,2021/11/01 10:56:19+00,6,0,9,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
